state,countyname,vb_vf_national_precinct_code,household_count,reg_voters_count,reg_vote_2024,vap_count,pct_female,avg_tsmart_urbanicity,tsmart_urbanicity_2_count,tsmart_urbanicity_3_count,tsmart_urbanicity_4_count,tsmart_urbanicity_5_count,tsmart_urbanicity_6_count,avg_tsmart_ideology_score,avg_tsmart_trump_support_score,avg_tsmart_presidential_general_turnout_score,avg_vb_voterbase_age,pct_reg_white,pct_reg_black,pct_reg_latinx,pct_vap_white,pct_vap_black,pct_vap_latinx,avg_tsmart_college_graduate_score,avg_tsmart_income_rank_score,vf_reg_white_count,vf_reg_black_count,vf_reg_latinx_count,vf_vap_white_count,vf_vap_black_count,vf_vap_latinx_count,vf_reg_under_40,vf_reg_over_65,ts_partisan_under_15,ts_partisan_over_15,avg_2024_general,d_two_way_vote_share_pres_16,d_two_way_vote_share_cong_18,d_two_way_vote_share_pres_20,d_two_way_vote_share_cong_22,all_votes_cast_22
NM,OTERO,NM_OTERO_040,485,583,339,723,0.5186721992,2.051460362,19,24,7,6,0,24.81590604,74.34464794,60.61313966,56.4031339,0.7855917667,0.04288164666,0.166380789,0.7966804979,0.0387275242,0.1590594744,27.56478872,48.3340845,458,25,97,576,28,115,0.2881646655,0.730703259,0.6861063465,0.3138936535,26.83376618,0.2789108758,0.3113625222,0.3147256782,0.2816248205,334.5401318
NM,BERNALILLO,NM_BERNALILLO_581,869,787,724,945,0.564021164,4.86984127,9,11,46,866,5,65.22761927,51.38641716,48.73502639,44.72747497,0.4548919949,0.05590851334,0.3379923761,0.437037037,0.05291005291,0.362962963,34.24395718,17.84000003,358,44,266,413,50,343,0.5362134689,0.4904701398,0.1804320203,0.8195679797,54.31529154,0.6992893138,0.7795889316,0.7318284815,0.7565669462,285.4592867
NM,LEA,NM_LEA_031,922,1044,897,1333,0.5078769692,2.450112528,18,565,17,5,1,38.32085516,68.7843019,49.89812451,49.52846832,0.3256704981,0.05459770115,0.6101532567,0.3038259565,0.05476369092,0.6331582896,26.68860374,20.52603772,340,57,637,405,73,844,0.4214559387,0.5948275862,0.5220306513,0.4779693487,30.79425464,0.3919536162,0.4522780361,0.2817807412,0.2625509031,277.6028281
NM,DONA ANA,NM_DONA ANA_006,491,586,382,659,0.5083459788,1.621705426,476,56,49,22,3,35.23626712,65.77321976,50.97177539,48.75663027,0.7372013652,0.07167235495,0.1587030717,0.7374810319,0.07435508346,0.1593323217,40.50015477,41.22786372,432,42,93,486,49,105,0.4129692833,0.6075085324,0.5324232082,0.4641638225,31.69063499,0.3633568332,0.4355694566,0.3318160868,0.4076419986,215.1112559
NM,OTERO,NM_OTERO_029,560,613,379,736,0.5054347826,2.168707483,17,92,12,7,1,32.99347834,68.803168,57.03165772,55.48994253,0.7520391517,0.03099510604,0.189233279,0.7432065217,0.03260869565,0.1983695652,26.57258957,36.88650142,461,19,116,547,24,146,0.2903752039,0.7194127243,0.5954323002,0.4045676998,30.47197728,0.3101487342,0.3844330402,0.3841123889,0.3728072152,275.6968081
NM,BERNALILLO,NM_BERNALILLO_657,452,507,371,590,0.5491525424,4.883050847,5,7,20,553,0,52.01474587,55.54444456,61.41305081,50.25569177,0.5660749507,0.07692307692,0.2682445759,0.5474576271,0.0813559322,0.2796610169,28.32820514,25.50974358,287,39,136,323,48,165,0.3747534517,0.6390532544,0.3353057199,0.6627218935,45.42119093,0.5992973764,0.6521463814,0.6144003828,0.5967068635,276.0179119
NM,BERNALILLO,NM_BERNALILLO_284,532,565,440,685,0.4934306569,4.927007299,4,3,18,654,2,70.92248203,47.4638767,62.93927007,54.85930408,0.5681415929,0.04601769912,0.3415929204,0.5489051095,0.04379562044,0.3605839416,32.07165934,21.46196768,321,26,193,376,30,247,0.3061946903,0.7061946903,0.2088495575,0.7911504425,53.32731335,0.6705539359,0.7007587863,0.7127470587,0.6879701969,299.8623902
NM,CURRY,NM_CURRY_017,819,976,520,1139,0.4960491659,2.977132806,20,997,31,20,3,25.37875332,73.94403912,58.19543456,50.0911577,0.7735655738,0.04405737705,0.1731557377,0.7805092186,0.04389815628,0.1633011414,33.08603209,45.53656586,755,43,169,889,50,186,0.3975409836,0.6229508197,0.669057377,0.330942623,24.40891539,0.1928695467,0.2468860702,0.2271337816,0.2411469467,450.7629427
NM,BERNALILLO,NM_BERNALILLO_089,719,827,556,924,0.5303030303,3.968546638,14,24,807,57,5,53.77337675,54.20622278,56.60984846,46.92580288,0.5223700121,0.03506650544,0.3736396614,0.5216450216,0.03246753247,0.3744588745,40.41211789,56.44082962,432,29,309,482,30,346,0.46191052,0.5501813785,0.3216444982,0.6783555018,48.95050278,0.5186450247,0.582010582,0.6228956229,0.5582655827,369
NM,SANDOVAL,NM_SANDOVAL_086,628,901,510,986,0.5131845842,3.964430894,3,40,903,30,0,47.31663307,59.03364018,68.13762669,46.12719752,0.5749167592,0.03107658158,0.3695893452,0.5770791075,0.03042596349,0.369168357,41.71922288,70.87218819,518,28,333,569,30,364,0.3984461709,0.6204217536,0.4395116537,0.5593784684,39.85882358,0.4739468359,0.5379677542,0.49498397,0.4775751139,405.0318584
NM,EDDY,NM_EDDY_010,749,796,738,1004,0.5129482072,2.040836653,16,23,3,8,1,63.0900397,53.00030069,51.90577691,52.7605042,0.3304020101,0.07914572864,0.5640703518,0.2988047809,0.0796812749,0.5986055777,28.70020038,31.07204409,263,63,449,300,80,601,0.3793969849,0.6306532663,0.2675879397,0.7324120603,40.84406615,0.63974465,0.7166398286,0.5291701405,0.591967744,258.5208633
NM,BERNALILLO,NM_BERNALILLO_335,911,864,692,1008,0.5337301587,4.043737575,9,12,860,107,3,63.58065511,50.68039999,50.12341274,51.82719836,0.537037037,0.04050925926,0.3321759259,0.5386904762,0.03670634921,0.3273809524,28.6693,20.79390001,464,35,287,543,37,330,0.3865740741,0.6238425926,0.2222222222,0.7777777778,50.25299585,0.6738484136,0.6997334798,0.6777046029,0.6228963213,324.3134493
NM,BERNALILLO,NM_BERNALILLO_164,812,842,646,967,0.4601861427,4.92450879,7,7,17,922,7,75.23298902,44.93875003,59.69720787,52.93916756,0.4548693587,0.04750593824,0.4406175772,0.4426059979,0.04343329886,0.4612202689,50.33114583,25.7628125,383,40,371,428,42,446,0.3147268409,0.7054631829,0.1520190024,0.8479809976,55.55566242,0.7978222922,0.8322780742,0.7426466574,0.7759120622,436.3261154
NM,BERNALILLO,NM_BERNALILLO_319,910,892,676,1070,0.4691588785,4.516853933,13,21,393,622,7,57.77439265,53.01192055,57.93009342,48.99509804,0.5773542601,0.03923766816,0.2724215247,0.5719626168,0.04112149533,0.2719626168,37.21239347,38.0138127,515,35,243,612,44,291,0.4360986547,0.5784753363,0.2970852018,0.701793722,48.15730768,0.5798593523,0.6350581928,0.6156424306,0.5572552229,351.6076545
NM,BERNALILLO,NM_BERNALILLO_246,600,550,510,669,0.5605381166,4.859491779,8,12,25,617,2,71.58370729,45.1981928,48.41121071,46.875,0.3345454545,0.1,0.4418181818,0.3109118087,0.1001494768,0.4499252616,32.96340359,16.69638556,184,55,243,208,67,301,0.4945454545,0.5345454545,0.1236363636,0.8763636364,56.8,0.8472207121,0.8144477312,0.7836337867,0.8424507017,183.3141125
NM,CURRY,NM_CURRY_007,701,733,756,922,0.5509761388,2.498371336,9,440,8,4,0,60.82917577,55.25285086,46.57895875,48.66055046,0.2332878581,0.173260573,0.5770804911,0.2321041215,0.1757049892,0.579175705,19.54451753,12.96348686,171,127,423,214,162,534,0.4652114598,0.5648021828,0.2005457026,0.7994542974,50.93601361,0.657714735,0.7986633869,0.7013126419,0.7116209142,158.3933922
NM,OTERO,NM_OTERO_016,318,326,268,354,0.4491525424,2.140350877,72,24,25,10,4,28.56807913,72.4557472,41.41836158,32.68678161,0.7239263804,0.08588957055,0.1503067485,0.7259887006,0.08757062147,0.1468926554,24.23534483,33.6367815,236,28,49,257,31,52,0.7607361963,0.273006135,0.5613496933,0.4386503067,34.28313254,0.3128647366,0.491346231,0.3730998474,0.3922960635,21.27699309
NM,BERNALILLO,NM_BERNALILLO_384,671,663,365,740,0.577027027,4.866216216,8,8,29,677,8,69.55864925,37.47187501,62.46270264,55.76363636,0.754147813,0.0346907994,0.1583710407,0.7513513514,0.03243243243,0.1594594595,37.79103258,28.3521739,500,23,105,556,24,118,0.383107089,0.6395173454,0.1689291101,0.8295625943,63.92576185,0.7793510659,0.750050781,0.7770801794,0.7917651363,379.4958089
NM,DONA ANA,NM_DONA ANA_048,1079,1060,981,1268,0.5528391167,3.582807571,7,497,727,17,3,67.24432186,53.29864867,50.65662456,52.08326531,0.3698113208,0.02264150943,0.5933962264,0.3651419558,0.02129337539,0.5993690852,27.67957077,13.76351353,392,24,629,463,27,760,0.3933962264,0.6216981132,0.1943396226,0.8056603774,47.87424859,0.7068563584,0.7829778482,0.7391624184,0.6815348717,326.481361
NM,BERNALILLO,NM_BERNALILLO_619,455,496,441,582,0.5395189003,4.907216495,1,9,25,542,2,70.51374595,46.86557081,58.7891752,43.23920863,0.185483871,0.04637096774,0.7419354839,0.1890034364,0.0412371134,0.7422680412,18.88979239,30.17871976,92,23,368,110,24,432,0.5100806452,0.5040322581,0.1875,0.8125,53.55805292,0.7311238715,0.7505433116,0.7192811264,0.6406902776,219.5176988
NM,SANDOVAL,NM_SANDOVAL_149,582,705,460,793,0.5384615385,2.241466498,9,105,29,11,1,52.81576308,56.0040764,64.45346792,49.19817471,0.5177304965,0.04397163121,0.3957446809,0.5081967213,0.04035308953,0.4073139975,37.84547775,53.47312108,365,31,279,403,32,323,0.4127659574,0.6170212766,0.390070922,0.609929078,44.02369795,0.4692670815,0.5764758292,0.5650703338,0.522204821,580.2569108
NM,BERNALILLO,NM_BERNALILLO_305,993,926,688,1090,0.5825688073,4.865932048,9,17,53,997,4,63.0133031,50.97214486,53.83532107,50.47036329,0.6349892009,0.04211663067,0.2267818575,0.6412844037,0.03853211009,0.223853211,26.25524604,19.53500463,588,39,210,699,42,244,0.4179265659,0.5928725702,0.2440604752,0.7559395248,49.23600764,0.6390574459,0.6880238951,0.6599178454,0.6758731412,369.3340761
NM,SANDOVAL,NM_SANDOVAL_128,627,868,529,954,0.5209643606,3.916142558,12,36,857,22,6,48.3546124,58.29121698,64.16215932,46.93582888,0.5622119816,0.03225806452,0.3767281106,0.5670859539,0.03039832285,0.3710691824,38.48444442,66.277672,488,28,327,541,29,354,0.4216589862,0.6002304147,0.4320276498,0.5679723502,40.78270676,0.4658155092,0.5433815035,0.5057682917,0.4771343709,515.7602513
