vb_vf_national_precinct_code,randomization_block,treatment
FL_PINELLAS_317,925,0
FL_HILLSBOROUGH_808,1550,0
FL_MIAMI-DADE_132,560,1
FL_COLLIER_303,1582,1
FL_PINELLAS_123,580,1
FL_ESCAMBIA_088,2183,1
FL_LEE_403,48,0
FL_HILLSBOROUGH_700,1135,1
FL_PINELLAS_215,2254,0
FL_HERNANDO_110,1915,0
FL_PALM BEACH_8450,1796,0
FL_LEE_101,1095,0
FL_MIAMI-DADE_312,180,0
FL_CITRUS_105,344,1
FL_LEON_2451,1730,1
FL_SEMINOLE_037,1064,0
FL_MIAMI-DADE_794,981,1
FL_SARASOTA_317,527,1
FL_MIAMI-DADE_126,1483,1
FL_PASCO_053,547,0
FL_PALM BEACH_3804,751,1
FL_MIAMI-DADE_019,1861,0
FL_BREVARD_441,1896,0
FL_PINELLAS_203,1818,0
FL_MARION_0050,1308,1
FL_BROWARD_00Y001,2410,0
FL_BREVARD_207,1066,0
FL_OSCEOLA_3601,2565,0
FL_OKALOOSA_18,166,0
FL_PUTNAM_03,1107,1
FL_HILLSBOROUGH_335,1120,0
FL_LEE_316,155,0
FL_CHARLOTTE_54,1213,0
FL_MIAMI-DADE_471,4,0
FL_BREVARD_226,319,0
FL_ST LUCIE_51,210,0
FL_PALM BEACH_8811,2373,0
FL_PALM BEACH_8673,2557,1
FL_PALM BEACH_5705,1952,1
FL_PALM BEACH_8937,1225,0
FL_PALM BEACH_6601,2131,0
FL_COLLIER_202,159,0
FL_PINELLAS_629,506,1
FL_POLK_110,373,0
FL_SARASOTA_219,883,1
FL_HILLSBOROUGH_988,2520,0
FL_PINELLAS_303,567,1
FL_HILLSBOROUGH_755,1793,0
FL_HILLSBOROUGH_430,1346,1
FL_LAKE_0205,659,0
FL_ALACHUA_0014,1043,0
FL_SEMINOLE_062,385,1
FL_PINELLAS_323,134,1
FL_BROWARD_00R029,583,1
FL_MIAMI-DADE_155,2636,1
FL_PASCO_001,1748,1
FL_PINELLAS_533,1022,0
FL_DESOTO_10,1939,0
FL_BREVARD_318,891,0
FL_HILLSBOROUGH_885,1578,0
FL_MARION_3240,461,0
FL_PINELLAS_229,644,1
FL_ST JOHNS_403,953,0
FL_SEMINOLE_051,1077,1
FL_BREVARD_422,14,1
FL_HILLSBOROUGH_960,2530,0
FL_VOLUSIA_407,1365,0
FL_PALM BEACH_8872,161,0
FL_ST LUCIE_85,1869,1
FL_VOLUSIA_811,770,0
FL_OSCEOLA_3010,2263,1
FL_COLLIER_145,1338,0
FL_MIAMI-DADE_766,987,0
FL_MANATEE_219,798,0
FL_ST JOHNS_311,1524,0
FL_ESCAMBIA_068,919,1
FL_PINELLAS_617,260,1
FL_HILLSBOROUGH_538,1292,1
FL_PALM BEACH_6701,1801,0
FL_ST LUCIE_10,1341,0
FL_HILLSBOROUGH_710,1756,1
FL_ORANGE_000233,1583,0
FL_HILLSBOROUGH_909,1787,1
FL_PALM BEACH_1514,1021,1
FL_SEMINOLE_035,2152,1
FL_POLK_234,2083,1
FL_MIAMI-DADE_389,361,1
FL_OKALOOSA_11,2693,1
FL_ORANGE_000541,2396,0
FL_LEON_2306,2409,1
FL_SUMTER_126,2423,1
FL_MIAMI-DADE_986,582,0
FL_OKALOOSA_14,763,0
FL_SEMINOLE_060,262,0
FL_PINELLAS_324,1410,0
FL_MARION_3140,587,1
FL_COLUMBIA_041,538,0
FL_PINELLAS_230,1060,0
FL_PALM BEACH_2410,945,0
FL_SEMINOLE_019,1472,0
FL_PINELLAS_602,230,0
FL_ESCAMBIA_069,2026,1
FL_MIAMI-DADE_701,249,1
FL_MIAMI-DADE_706,535,0
FL_MIAMI-DADE_619,2603,1
FL_VOLUSIA_211,1403,1
FL_BROWARD_00R016,1989,1
FL_DIXIE_09,136,0
FL_BROWARD_00X003,1906,1
FL_MIAMI-DADE_333,2301,1
FL_MARTIN_07,695,0
FL_CHARLOTTE_03,2303,1
FL_CHARLOTTE_14,1254,0
FL_PALM BEACH_9426,1441,1
FL_DUVAL_00104,2316,0
FL_HILLSBOROUGH_554,1889,0
FL_POLK_321,736,0
FL_BAY_19,226,0
FL_DESOTO_15,1501,0
FL_MIAMI-DADE_157,1559,0
FL_MIAMI-DADE_112,2232,1
FL_SANTA ROSA_23,1016,0
FL_SEMINOLE_040,169,1
FL_JACKSON_04,907,0
FL_INDIAN RIVER_0033,623,0
FL_MIAMI-DADE_227,420,0
FL_PALM BEACH_8687,1603,0
FL_MIAMI-DADE_027,334,1
FL_DUVAL_00107,2316,1
FL_HILLSBOROUGH_884,2633,1
FL_LEE_219,742,0
FL_PALM BEACH_1604,2131,1
FL_HILLSBOROUGH_673,419,0
FL_LEON_5115,707,0
FL_LEON_1301,2510,1
FL_BROWARD_00D009,2407,1
FL_ORANGE_000504,1271,0
FL_LEON_4101,707,1
FL_PINELLAS_633,337,1
FL_MIAMI-DADE_984,1035,0
FL_ST JOHNS_302,2419,1
FL_PALM BEACH_1537,2126,0
FL_MIAMI-DADE_595,1258,0
FL_HILLSBOROUGH_159,2253,1
FL_SARASOTA_223,1002,1
FL_LEON_4103,1479,1
FL_MARION_1050,378,0
FL_BREVARD_509,1815,1
FL_ORANGE_000216,202,1
FL_CITRUS_100,139,1
FL_MIAMI-DADE_388,21,0
FL_MIAMI-DADE_332,879,0
FL_NASSAU_00014,1692,0
FL_SARASOTA_125,116,0
FL_INDIAN RIVER_0008,255,1
FL_SARASOTA_505,807,1
FL_HILLSBOROUGH_931,1880,0
FL_PALM BEACH_4801,964,0
FL_SEMINOLE_064,733,0
FL_HILLSBOROUGH_508,1974,1
FL_BAY_23,1304,1
FL_COLLIER_242,311,1
FL_BROWARD_00M017,1439,0
FL_PALM BEACH_6513,1502,0
FL_ESCAMBIA_070,1998,0
FL_MIAMI-DADE_664,2687,0
FL_MARION_0010,1311,0
FL_ST JOHNS_105,2458,0
FL_PALM BEACH_1732,1280,0
FL_MIAMI-DADE_526,2244,0
FL_MIAMI-DADE_963,2473,1
FL_MARION_3300,1296,0
FL_OSCEOLA_1507,2760,1
FL_BREVARD_213,2394,0
FL_ORANGE_000309,716,1
FL_LAKE_0570,1794,1
FL_MIAMI-DADE_788,852,0
FL_ALACHUA_0050,809,1
FL_CHARLOTTE_61,1711,1
FL_LEE_206,2114,0
FL_COLLIER_592,1018,1
FL_POLK_532,1599,0
FL_HILLSBOROUGH_305,2376,0
FL_PALM BEACH_8944,1374,0
FL_PALM BEACH_9422,2273,0
FL_MIAMI-DADE_582,843,1
FL_ORANGE_000609,1504,1
FL_MIAMI-DADE_826,576,1
FL_PASCO_035,788,0
FL_BROWARD_00V008,2224,0
FL_SARASOTA_135,376,0
FL_PALM BEACH_8745,1688,1
FL_PALM BEACH_8908,1792,1
FL_MIAMI-DADE_013,2393,1
FL_BREVARD_507,152,0
FL_MARION_3230,892,1
FL_MIAMI-DADE_822,2124,0
FL_PASCO_118,1376,1
FL_PALM BEACH_8925,1085,1
FL_SARASOTA_307,1675,1
FL_MIAMI-DADE_631,728,1
FL_MIAMI-DADE_807,900,1
FL_PASCO_116,1443,0
FL_LEVY_08,440,1
FL_PALM BEACH_6415,603,1
FL_MIAMI-DADE_033,358,0
FL_PALM BEACH_2504,1445,0
FL_BROWARD_00X005,268,1
FL_ST LUCIE_42,599,0
FL_LEE_220,213,1
FL_PALM BEACH_8936,711,1
