vb_vf_national_precinct_code,randomization_block,treatment
NM_OTERO_040,316,1
NM_BERNALILLO_581,2752,1
NM_LEA_031,2631,1
NM_DONA ANA_006,3157,1
NM_OTERO_029,316,1
NM_BERNALILLO_657,858,1
NM_BERNALILLO_284,964,1
NM_CURRY_017,1599,1
NM_BERNALILLO_089,2423,1
NM_SANDOVAL_086,551,1
NM_EDDY_010,2194,1
NM_BERNALILLO_335,1479,1
NM_BERNALILLO_164,2919,1
NM_BERNALILLO_319,2325,1
NM_BERNALILLO_246,2752,1
NM_CURRY_007,2759,1
NM_OTERO_016,3113,1
NM_BERNALILLO_384,3070,1
NM_DONA ANA_048,2934,1
NM_BERNALILLO_619,1503,1
NM_SANDOVAL_149,2423,1
NM_BERNALILLO_305,2752,1
NM_SANDOVAL_128,559,1
NM_BERNALILLO_027,2752,1
NM_BERNALILLO_228,559,1
NM_OTERO_017,2564,1
NM_CURRY_025,2121,0
NM_BERNALILLO_278,2325,1
NM_BERNALILLO_280,2928,1
NM_BERNALILLO_363,3113,1
NM_CURRY_015,2870,1
NM_OTERO_020,2934,1
NM_LEA_058,2860,1
NM_BERNALILLO_132,1768,1
NM_CURRY_042,2564,1
NM_LEA_054,2631,0
NM_BERNALILLO_329,2325,1
NM_BERNALILLO_264,2340,1
NM_CHAVES_084,2163,1
NM_LEA_029,1215,1
NM_BERNALILLO_438,2868,1
NM_LEA_059,3175,1
NM_BERNALILLO_285,2769,1
NM_ROOSEVELT_010,2870,1
NM_OTERO_050,3138,1
NM_BERNALILLO_495,390,1
NM_BERNALILLO_248,2868,1
NM_CURRY_008,1941,1
NM_LEA_053,2860,1
NM_OTERO_059,3113,1
NM_LEA_041,2251,1
NM_CURRY_018,2646,1
NM_CURRY_033,2251,1
NM_CURRY_043,1599,1
NM_CURRY_026,1941,1
NM_OTERO_051,316,1
NM_BERNALILLO_055,2860,1
NM_BERNALILLO_134,1187,1
NM_BERNALILLO_226,2137,1
NM_MCKINLEY_07,3148,1
NM_BERNALILLO_104,2991,1
NM_OTERO_036,2640,1
NM_BERNALILLO_316,1585,1
NM_BERNALILLO_137,2991,0
NM_BERNALILLO_158,1187,1
